Years,Population,GDP,Agriculture,forest [he]
1960,SP.POP.TOTL,15165569913.0,156959,777310.6792872548
1961,72179226,15236854859.0,160666,769733.3987264633
1962,74311343,19926293839.0,164373,762251.9443826377
1963,76514328,23021477292.0,168080,754866.3162557781
1964,78772657,21211892260.0,171787,747576.5143458545
1965,81064571,21790035117.0,175494,740382.5386528969
1966,83373530,27062716578.0,179201,733284.3891769052
1967,85696505,30591834054.0,182908,726282.0659178793
1968,88035814,33875881876.0,186615,719375.5688757896
1969,90387079,37458898244.0,190328,712564.8980506659
1970,92746614,42327600098.0,193834,705850.0534424484
1971,95113265,49204456700.0,197340,699231.0350512564
1972,97482920,58539008786.0,200846,692707.8428770006
1973,99859383,79279057731.0,204352,686280.4769197106
1974,102259497,105000000000.0,207859,679948.9371793866
1975,104706198,124000000000.0,212780,673713.2236559987
1976,107216205,153000000000.0,217701,667573.3363495767
1977,109790938,176000000000.0,222622,661529.2752601206
1978,112425392,201000000000.0,227543,655581.0403876305
1979,115121153,225000000000.0,232.517.208,649728.6317320764
1980,117878411,235000000000.0,234413.8,643972.0492934883
1981,120694009,264000000000.0,236310.6,638311.293071866
1982,123570327,282000000000.0,238207.4,632746.3630672097
1983,126498314,203000000000.0,240104.2,627277.2592794895
1984,129448819,209000000000.0,241.998.707,621903.9817087352
1985,132383568,223000000000.0,240579.2,616626.5303549469
1986,135274080,268000000000.0,239159.4,611444.9052180946
1987,138108912,294000000000.0,237739.6,606359.1062981486
1988,140891602,330000000000.0,236319.8,601369.1335952282
1989,143627503,426000000000.0,234900,596474.9871092737
1990,146328304,462000000000.0,233480.2,588898.0
1991,149003223,603000000000.0,232060.4,585117.06
1992,151648011,401000000000.0,230640.6,581336.12
1993,154259380,438000000000.0,229220.8,577555.18
1994,156849078,558000000000.0,227805,573774.24
1995,159432716,769000000000.0,227908.7,569993.3
1996,162019896,850000000000.0,228012.4,566212.36
1997,164614688,883000000000.0,228116.1,562431.42
1998,167209040,864000000000.0,228219.8,558650.48
1999,169785250,599000000000.0,228323.5,554869.54
2000,172318675,655000000000.0,228427.2,551088.6
2001,174790340,559000000000.0,228530.9,547137.81
2002,177196054,508000000000.0,228634.6,543187.02
2003,179537520,558000000000.0,228738.3,539236.23
2004,181809246,669000000000.0,228842,535285.44
2005,184006481,892000000000.0,228951,531334.65
2006,186127103,1110000000000.0,229671.8,527383.86
2007,188167356,1400000000000.0,230392.6,523433.07
2008,190130443,1700000000000.0,231113.4,519482.28
2009,192030362,1670000000000.0,231834.2,515531.49
2010,193886508,2210000000000.0,232555,511580.7
2011,195713635,2620000000000.0,233275.8,510041.52
2012,197514534,2470000000000.0,233996.6,508502.34
2013,199287296,2470000000000.0,234717.4,506963.16
2014,201035903,2460000000000.0,235438.2,505423.98
2015,202763735,1800000000000.0,236159,503884.8
2016,204471769,1800000000000.0,236878.6,502082.1
2017,206163058,2060000000000.0,236.878.801,500091.6
2018,207833831,1890000000000.0,0,499051.4
2019,209469333,1840000000000.0,0,0
2020,211049527,0.0,0,0
